name,displayName,description,module,path,standalone
"adv-elicit","Advanced Elicitation","When called from workflow","core","bmad/core/tasks/adv-elicit.xml","false"
"index-docs","Index Docs","Generates or updates an index.md of all documents in the specified directory","core","bmad/core/tasks/index-docs.xml","true"
"validate-workflow","Validate Workflow Output","Run a checklist against a document with thorough analysis and produce a validation report","core","bmad/core/tasks/validate-workflow.xml","false"
"workflow","Execute Workflow","Execute given workflow by loading its configuration, following instructions, and producing output","core","bmad/core/tasks/workflow.xml","false"
"daily-standup","Daily Standup","","bmm","bmad/bmm/tasks/daily-standup.xml","false"
"retrospective","Team Retrospective","","bmm","bmad/bmm/tasks/retrospective.xml","false"
"code-genie-best-practices","程式碼最佳實踐","提供特定技術棧的程式碼最佳實踐。","mhp","bmad/mhp/tasks/code-genie-best-practices.xml","false"
"code-genie-debug-code","程式碼除錯建議","協助分析程式碼錯誤並提供除錯建議。","mhp","bmad/mhp/tasks/code-genie-debug-code.xml","false"
"code-genie-generate-code","程式碼片段生成","根據需求生成程式碼片段。","mhp","bmad/mhp/tasks/code-genie-generate-code.xml","false"
"code-genie-refactor-code","程式碼重構建議","提供程式碼重構建議，提升品質與效率。","mhp","bmad/mhp/tasks/code-genie-refactor-code.xml","false"
"code-genie-tech-guidance","技術選型與架構設計指導","提供技術選型和架構設計指導。","mhp","bmad/mhp/tasks/code-genie-tech-guidance.xml","false"
"dai-ha-analyze-data","數據處理與分析協調","協助團隊處理、分析數據，從中提取關鍵洞察，支持決策。","mhp","bmad/mhp/tasks/dai-ha-analyze-data.xml","false"
"dai-ha-decompose-problem","問題拆解與任務定義","協助團隊將複雜的黑客松挑戰拆解為可管理、可執行的子任務，並明確定義每個任務的範圍。","mhp","bmad/mhp/tasks/dai-ha-decompose-problem.xml","false"
"dai-ha-design-prototype","原型設計與使用者體驗測試協調","提供原型設計的建議，並指導團隊如何進行使用者體驗測試和優化。","mhp","bmad/mhp/tasks/dai-ha-design-prototype.xml","false"
"dai-ha-generate-code","程式碼生成、優化與除錯協調","輔助團隊生成程式碼片段、提供優化建議，並協助偵錯。","mhp","bmad/mhp/tasks/dai-ha-generate-code.xml","false"
"dai-ha-prepare-docs","文件準備協調","協助團隊撰寫技術文件、專案報告，並準備具說服力的簡報內容。","mhp","bmad/mhp/tasks/dai-ha-prepare-docs.xml","false"
"dai-ha-recommend-tech","技術棧與資源推薦","根據專案需求，推薦合適的技術棧、開發工具和開源資源。","mhp","bmad/mhp/tasks/dai-ha-recommend-tech.xml","false"
"dai-ha-risk-assessment","風險評估與應對策略協調","協助團隊識別潛在風險，評估其影響，並制定應對策略。","mhp","bmad/mhp/tasks/dai-ha-risk-assessment.xml","false"
"data-expert-analyze-opendata","分析開放資料集","分析開放資料集，提取關鍵資訊。","mhp","bmad/mhp/tasks/data-expert-analyze-opendata.xml","false"
"data-expert-create-dataset","資料集設計與建構","協助團隊設計和建構新的資料集。","mhp","bmad/mhp/tasks/data-expert-create-dataset.xml","false"
"data-expert-data-governance","資料治理和倫理使用指導","提供資料治理和倫理使用的指導。","mhp","bmad/mhp/tasks/data-expert-data-governance.xml","false"
"data-expert-data-storytelling","資料洞察故事化","協助團隊將資料洞察轉化為引人入勝的故事，支持決策與溝通。","mhp","bmad/mhp/tasks/data-expert-data-storytelling.xml","false"
"data-expert-prepare-data","資料清洗、轉換和整備建議","提供資料清洗、轉換和整備的技巧與建議。","mhp","bmad/mhp/tasks/data-expert-prepare-data.xml","false"
"data-expert-statistical-analysis","統計分析","執行統計分析，揭示資料中的模式與趨勢。","mhp","bmad/mhp/tasks/data-expert-statistical-analysis.xml","false"
"data-expert-visualize-data","資料視覺化方法建議","建議資料視覺化方法，以清晰呈現洞察。","mhp","bmad/mhp/tasks/data-expert-visualize-data.xml","false"
"design-maestro-accessibility-review","設計可訪問性評估","評估設計的可訪問性，確保符合無障礙標準。","mhp","bmad/mhp/tasks/design-maestro-accessibility-review.xml","false"
"design-maestro-create-prototype","互動式原型建立","協助建立互動式原型，模擬使用者體驗。","mhp","bmad/mhp/tasks/design-maestro-create-prototype.xml","false"
"design-maestro-design-principles","設計原則和最佳實踐指導","提供設計原則和最佳實踐指導。","mhp","bmad/mhp/tasks/design-maestro-design-principles.xml","false"
"design-maestro-design-ui","使用者介面設計","根據需求設計使用者介面草圖或線框圖。","mhp","bmad/mhp/tasks/design-maestro-design-ui.xml","false"
"design-maestro-information-architecture","資訊架構規劃","協助規劃和組織內容結構，提升資訊的查找效率和使用者理解。","mhp","bmad/mhp/tasks/design-maestro-information-architecture.xml","false"
"design-maestro-user-test","使用者測試計畫與回饋分析","提供使用者測試計畫與回饋分析建議。","mhp","bmad/mhp/tasks/design-maestro-user-test.xml","false"
"design-maestro-visual-feedback","視覺優化建議","分析設計稿並提供視覺優化建議。","mhp","bmad/mhp/tasks/design-maestro-visual-feedback.xml","false"
"external-relations-specialist-brand-messaging","品牌訊息制定","協助團隊制定一致的品牌訊息，確保對外溝通的連貫性。","mhp","bmad/mhp/tasks/external-relations-specialist-brand-messaging.xml","false"
"external-relations-specialist-external-comm","對外溝通材料準備","協助準備對外溝通材料，如新聞稿、社群貼文。","mhp","bmad/mhp/tasks/external-relations-specialist-external-comm.xml","false"
"external-relations-specialist-generate-external-report","對外發布報告生成","根據專案進度或成果生成對外發布的報告。","mhp","bmad/mhp/tasks/external-relations-specialist-generate-external-report.xml","false"
"external-relations-specialist-presentation-coaching","簡報技巧指導","提供簡報技巧指導，協助團隊準備具說服力的演講。","mhp","bmad/mhp/tasks/external-relations-specialist-presentation-coaching.xml","false"
"external-relations-specialist-stakeholder-coord","利害關係人溝通與協調策略","提供利害關係人溝通與協調策略。","mhp","bmad/mhp/tasks/external-relations-specialist-stakeholder-coord.xml","false"
"market-insight-business-model","商業模式設計與盈利策略建議","提供商業模式設計和盈利策略建議。","mhp","bmad/mhp/tasks/market-insight-business-model.xml","false"
"market-insight-competitor-analysis","競爭對手分析","分析競爭對手的產品、策略和優劣勢。","mhp","bmad/mhp/tasks/market-insight-competitor-analysis.xml","false"
"market-insight-go-to-market-strategy","產品上市策略規劃","提供產品上市策略的規劃建議，包括通路、推廣和銷售。","mhp","bmad/mhp/tasks/market-insight-go-to-market-strategy.xml","false"
"market-insight-market-research","市場趨勢分析與潛在市場規模評估","進行市場趨勢分析和潛在市場規模評估。","mhp","bmad/mhp/tasks/market-insight-market-research.xml","false"
"market-insight-pricing-strategy","產品定價策略制定","協助團隊制定合理的產品定價策略，以最大化市場接受度和盈利。","mhp","bmad/mhp/tasks/market-insight-pricing-strategy.xml","false"
"market-insight-user-validation","用戶需求驗證","協助設計用戶訪談或問卷，驗證用戶需求。","mhp","bmad/mhp/tasks/market-insight-user-validation.xml","false"
